,date,content
36,2022-10-31 15:23:18+00:00,When you are low and suddenly you successfully manage a 6y old suffering from acute asthmatic attack with a smile on her face gives you all the strength you were lacking
37,2022-10-31 15:21:30+00:00,@RanaRaj52460746 @RinjhiK @TheMarwahKhan kaash asa e ho and esi umeed sy india Pakistan per attack keray pher India per ko Fatah kr k ham Akhand Pakistan banayay gy insha'Allah
38,2022-10-31 14:44:04+00:00,"Bol TV Channel has become off air once again in Lahore. What is this going on in the country?
Seems to be true journalism under attack by Govt &amp; its regulator
@BOLNETWORK"
39,2022-10-31 14:02:13+00:00,"Thanku twitter for let us know that
 #instagramdown … warna aj heart attack pkka tha 💔😭 https://t.co/IiAdeR55ry"
40,2022-10-31 13:55:48+00:00,"Alarmed by suicide attack, China and Pakistan work together in probe – https://t.co/Cu9LHy2hvM https://t.co/KqoAt5bN3k"
41,2022-10-31 13:12:58+00:00,"Are you okay?
Nope. there’s a void I forgot I had"
42,2022-10-31 13:11:32+00:00,"@chilliafsos Ma'am, you didn't have to attack us like that..."
43,2022-10-31 13:10:26+00:00,Or excellent even
44,2022-10-31 13:10:14+00:00,I’m try to put as much faith in Allah as I can. Hopefully it will turn out okay!
45,2022-10-31 13:09:48+00:00,We had our very own Steve Smith! https://t.co/25SQxyKcbs
46,2022-10-31 13:08:00+00:00,Jaane wo kese logg thay jinke pyaar ko pyaar mila 🤷🏻‍♂️
47,2022-10-31 12:04:58+00:00,"@joun313 @_Haider313 @Hadi_ibne_adam Ukraine ne b black sea me uskship ko target kia hay or Russia ka claim hay k us attack me American drone use hua hay 
گل ودھ گئی اوہ مختاریا"
48,2022-10-31 11:41:01+00:00,@the_manal_ally @capri_corn__ @3rd Ksm sy @3rd pr ap thi😂😂 mai  personal attack nhi kiya 🥺😂
49,2022-10-31 11:12:20+00:00,Fearless from Tucker to attack Aussie pacers considering he got no support from the other end.
50,2022-10-31 11:10:06+00:00,"If Jutni Punjabi (X rated version) was released today, Billy X would have been cancelled big time"
51,2022-10-31 11:09:24+00:00,"“If you’re feeling down, i just wanna make you happier baby”"
52,2022-10-31 10:43:34+00:00,"Alarmed by suicide attack, China and Pakistan work together on probe – Reuters https://t.co/dMlJ8S81VU"
53,2022-10-31 10:32:31+00:00,Will not allow any group to attack capital city: Rana Sanaullah – Dunya News https://t.co/5BsAmkqmg0
54,2022-10-31 10:20:23+00:00,"ALL ATTACK ON IRISH MENS!!!! 

5 down for Ireland in quick session. No mercy from Australian side 

#T20WC2022 | #AusIre | #Cricket https://t.co/7RG4z8LpWE"
55,2022-10-31 09:45:51+00:00,The persons launching these propagandists to attack the national psyche must introspect. Their actions only provoke more questions and confirm theories on what really ails Pakistan https://t.co/QbT0AFkn2y
56,2022-10-31 09:45:40+00:00,"@AreebUlHaq3 areeb acha khiyal ha dil ko behlanay ka🤣 “tum dekhna kal me poori anatomy kroo ga” 
hahahaha kasa attack tha🤣🫵🏻"
57,2022-10-31 09:11:26+00:00,#LongMarch day 4: Journalists under attack. https://t.co/rikXmbTZ06
58,2022-10-31 08:56:17+00:00,"@mahdokht0 Somebody important I heard who will attack IK as a person who has known him for years. 

Faisal Vawda Series. Episode 2."
59,2022-10-31 08:45:09+00:00,@arihafatimah Not really ind has a better fast bowling attack . We just have pace and pace and haris rauf stupidly to bowl slower balls to a set virat kohli cost us the most imp game . Arshdeep Singh has been far better than Naseem shah with new bowl .
60,2022-10-31 08:15:20+00:00,"Always thought correctly that @_merajhasan Meraj is a pompous guy whose only claim 2 fame is reading a few books but being unable to derive any meaningful knowledge 4rm them

question his logic n he’ll turn around and attack your education credentials - YOUR EDUCATION ! Ironic 😂"
61,2022-10-31 07:58:03+00:00,Dr. Rizwan - The main investigator of money laundering case against Sharif Mafia. Died due to a heart attack after constant pressure by begairat Shabaz and Hamza Sharif.
62,2022-10-31 07:57:47+00:00,"Ghulam Shabbir - “Benaimdar” account holder for all laundered money. Sudden Heart attack with no history of heart problem.  

- Maqsood Chaprasi Main wittness and “benaimdar” account holder of Sharif Mafia. Found dead in his apartment due to unknown reason"
63,2022-10-31 07:57:30+00:00,"Gulzar Ahmed - Witness of Ramzan Sugar Case. Slow poisoned till death. 

- Muzammil Raja - Witness and responsible to draw money from fake accounts of Ramzan Sugar. Sudden heart attack, no history of heart related issue."
64,2022-10-31 07:32:55+00:00,@imfaaru Aur Pdm ko 1 aur heart attack dilwana hay😂
65,2022-10-31 07:15:40+00:00,"@betterpakistan @PakiJiya Lakh di lanat teri soch te
Politics me compete na kr sko to personal attack"
66,2022-10-31 06:32:35+00:00,"@ritik9034 @manirudh2022 @godwinmbogo @theworldindex Every community is under attack only hindus are free and happy, hindutwa raaj bla bla in so called secular country."
67,2022-10-31 06:22:40+00:00,"Aur yeh iske bodyguard nhi the voh hamare dharam k bodyguard the 
Bhai beant singh aur Bhai satwant singh
Jinho ne Sri harimandir Sahib par aur Sri akal takhat sahib pr attack karvane ka badla liya tha.

Iss aurat ke bodyguard the iski behayat harkato ke pehle.
#neverforget1984 https://t.co/djat0TXMDd"
68,2022-10-31 06:19:07+00:00,@changu311 @panchal_kunjan @OpIndia_com Stampede ~ panic ~ suffocation ~ panic attack~ tachycardia~ heart distress~ cardiac arrest.
