,date,content
34,2022-10-24 13:22:46+00:00,"@_FaridKhan Pakistan batting will decide the fate 
South Africa have a good attack i think second best after Pakistan"
35,2022-10-24 05:30:48+00:00,"@imVkohli please don't play this type of thrill filled inning,I just saved myself from getting another heart attack. But at the same time I can't resist myself from watching you this Great inning. Thanks to you for priceless gift of Diwali. Be remain the king few more years. https://t.co/SRMmBC9o12"
36,2022-10-24 00:43:25+00:00,"Rebels have killed 4 Pakistani army personnel in a suicide attack in Spinwam, Occupied North waziristan, KP."
37,2022-10-23 17:34:39+00:00,"Was watching Ind v Pak, had a massive panic attack before the last over with heart rate and bp well above 220, rushed to the hospital, fell asleep thinking India must have lost the game, only to be woken up by the doctor 30 min later showing me the highlights that Kohli won it ❤️ https://t.co/HmXvtqgZAn"
38,2022-10-23 16:24:54+00:00,"Attack 🥊 Jhataak 🤼 Fataak ⭐
Vaat Lagane Aaya Hai Virat...!!

विराट ने दिवाली को खूबसूरत बनाया है।
हैप्पी दिवाली इंडिया 🪔

#INDvPAK #T20WorldCup #GOAT𓃵 #Diwali2022"
39,2022-10-15 05:16:48+00:00,@askdheeraj @drvenkimdrd Looks like the things Thanos brought with him to attack Earth
40,2022-10-01 02:08:49+00:00,"My Condolences go towards all the families who have lost their children and loved ones from the barbaric attack in Kabul, Afghanistan today. 💔💔

May Allah (swt) grant patience and peace to all who are grieving.

#KABULBLAST https://t.co/qLvAJ9kXSZ"
41,2022-09-16 10:15:28+00:00,@awwmishaaa Was that an attack?🥹
42,2022-09-16 07:39:35+00:00,@jain_harshit people don’t understand that we girls have not said companies to do diversity hiring and always attack girls ki vhi culprit hai
43,2022-09-12 02:01:24+00:00,"By donating blood, you can save the life of any person without any cost. Donating blood will reduce the risk of heart attack also. Donate blood and save your and  others life. 
#GiftOfLife 
Saint Gurmeet Ram Rahim Ji https://t.co/FfGrGIsZY3"
44,2022-09-10 04:44:01+00:00,"@Rahultahiliani9 it's not good manners,
No personal attack',
It's means
You have nothing to say except galiyan,
Be moderate.
After all
            Not 🚫 supporting
Your tweets,
                Pardon me
Namaskar"
45,2022-08-23 07:29:45+00:00,"हरियाणा में बीजेपी कद्दावर नेता और फिल्मी कलाकार सोनाली फोगाट का गोवा में heart attack होने से हुई मौत, parantu CBI se jaanch और एम्स में मेडिकल होना चाहिए,, https://t.co/SN4qpXj8dU"
46,2022-08-14 16:43:23+00:00,"@Real_Deepika_ Despite media declaring that Nehru died of a heart attack, there has been another theory that states Nehru was a womaniser and died because of Syphilis, a sexually transmitted infection (STI). Though there is no evidence of how far this theory is true, people have often argued."
47,2022-08-07 14:41:23+00:00,"@AlarabyTV Gaza is under attack, Again Israel's attacked &amp; killed innocent Muslims. 😭

Ya Allah help's them &amp; protect them from the enemies. 🤲 https://t.co/EcqvaBxKnL"
