,date,content
31,2022-03-08 10:24:31+00:00,A heart without devotion is very selfish. Selfishness i.e. false attachment and hatred can make blind souls very mad. By devotion the heart becomes fearless and generous. Only the insecure attack. The extremely scandalous trillionaire dictator Putin became unpopular in Russia. https://t.co/B2L22WKRBV
32,2022-03-04 17:44:24+00:00,"Just heard the devastating news about legendary (Shane Warne) passing away. No words to describe how shocked &amp; sad i am
What a legend. What a man. What a cricketer.
Australia's cricket legend Shane Warne passed away after heart attack.💔
#ShaneWarne
#Australia https://t.co/g3nzYkIMJ9"
33,2022-03-02 04:43:12+00:00,Nobody is talking about the attack of israel on Palestine. The whole world is concerned about ukrainians only. #israel #FreePalestine  #IStandWithPalestine
34,2022-03-01 08:24:13+00:00,"By the same logic, if some good historians complain about the wrong history taught by faculties at @Vision_IAS , then it is justified to destroy that academy. 
Where do #VisionIAS find such rectums. He is clearly justifying attack on Hindu temples by cruel Aurangzeb. https://t.co/Khk3pD8mwF"
35,2022-02-22 02:07:49+00:00,"@UNGeneva @RanaAyyub @UN_SPExperts @Irenekhan @MaryLawlorhrds The ""expert"" @UNGeneva has cited for painting Rana Ayyub as a a victim of sectarian attack in India is Bangladeshi lawyer Irene Khan who earlier worked with the fraud that is Amnesty International"
36,2022-02-18 15:49:13+00:00,"@Attack_Minister @shubh_sahani @kjsehrawat Torok farzi Fake id wala bjp ko zyada seat dega.
Aao apni seat Twitter par lelo pahle"
37,2022-02-14 05:51:43+00:00,"Mine Heartfelt Tribute To All CRPF Jawans😔 Who Laid Their Lives In The Pulwama Attack.😓 Entire Nation Will Be Indebted To them and Their families for Their Supreme Sacrifice💔😔🇮🇳
  #PulwamaAttack #BlackDayForIndia https://t.co/qpcGpPRVr1"
38,2022-02-14 05:37:23+00:00,"3 year to Pulwama Attack!
Never FORGET! Nevet FORGIVE https://t.co/6RDGz1yAuC"
39,2022-02-10 03:47:43+00:00,"@PankajSinghBJP Mamta di was not safe in Bengal injured due to so called attack but she is fully safe and secure under @myogiadityanath law and order. 
#farksaafhae. RT"
40,2022-02-10 03:21:21+00:00,"@yadavakhilesh Mamta di was not safe in Bengal injured due to so called attack but she is fully safe and secure under @myogiadityanath law and order. 
#farksaafhae"
41,2022-02-09 11:12:03+00:00,"Before casting your remember that the so called Secular Party remained silent on your issues, it will disappear in the same way this time too. Vote for @aimim_national who fights for your issues fearlessly and answer the attack of Asaduddin Owaisi Sahab with your vote. https://t.co/t4fSom7UqH"
42,2022-02-04 08:57:13+00:00,"Strongly condemn the attack on Janab @asadowaisi Sb. It must be thoroughly investigated by an unbiased competent authority and all culprits must be given examplary punishment as per law of the land in a time bound manner.

أَعُوذُ بِكلِمَاتِ الله التّامّاتِ مِن شَرّ مَا خَلَقَ 🤲"
43,2022-02-03 19:05:05+00:00,"Everyone is free to wear what they want,be it some officials in saffron robes.But women in #hijab a threat?Students are requesting the principal not to ruin their future but he'll listen to what the Govt says.This is an attack on Indian constitution.
#HijabisOurRight https://t.co/THoyKXhpCR"
44,2022-02-02 05:21:35+00:00,"This is 2022
Now boys also being victims of acid attack. 
#acidattack https://t.co/oPIYqOZEsx"
45,2022-01-18 17:08:53+00:00,"It is also an attack on the idea of ​​India that Maulana Abul Kalam Azad and Rabindra Nath Tagore had dreamed of.
#HijabisOurRight"
46,2022-01-18 16:59:47+00:00,"The barring of Muslim girl students in Karnataka from attending classes because of the hijab reflects the dirty and hateful mentality that is being spread across India towards Muslims and Islam. Attack on hijab is an attack on Islamic principles.
#HijabisOurRight https://t.co/aErGrUcMYp"
